title,price,location,surface,total_pieces,bedrooms,bathrooms,link,ad_id,antenne_parabolique,ascenseur,chambre_rangement,chauffage_central,chemine,climatisation,concierge,cuisine_quipe,double_vitrage,entreseul,faade_extrieure,four,garage,jardin,machine__laver,meubl,microondes,piscine,porte_blinde,rfrigrateur,salon_europen,scurit,terrasse,vue_sur_les_montagnes,vue_sur_mer
Bel appartement à vendre à Cité el Ghazela. 3 chambres agréa...,330 000 TND,"Cité el Ghazela, Raoued","146
						m²",N/A,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8120833/bel-appartement-%C3%A0-vendre-%C3%A0-cit%C3%A9-el-ghazela-3-chambres-agr%C3%A9ables-ascenseur-et-terrasse,N/A,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Un S2 à Vendre,Prix à consulter,"Gammarth, La Marsa","158
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/7968932/un-s2-%C3%A0-vendre,N/A,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A vendre S3 de 134.9 m² à Ariana Ville,255 000 TND,"Ariana, Ariana Ville","134
						m²",4 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8120716/a-vendre-s3-de-134-9-m%C2%B2-%C3%A0-ariana-ville,N/A,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
A Vendre Appartement en S1,274 000 TND,"Cité Ennasr 2, Ariana Ville","64
						m²",2 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/a/8120622/a-vendre-appartement-en-s1,N/A,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"A Nour Jaafar 
Un S2 Vide ou meublé",Prix à consulter,"Ariana Essoghra, Raoued","65
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8120573/a-nour-jaafar-un-s2-vide-ou-meubl%C3%A9,N/A,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
Appartement s2 a Vendre,265 000 TND,"Rejiche, Rejiche","93
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8098773/appartement-s2-a-vendre,N/A,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A Vendre Appartement en S2,431 000 TND,"Cité Ennasr 2, Ariana Ville","100
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8120298/a-vendre-appartement-en-s2,N/A,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A Vendre Appartement en S3,578 000 TND,"Cité Ennasr 1, Ariana Ville","149
						m²",4 Pièces,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8120248/a-vendre-appartement-en-s3,N/A,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Vente coquet appartement/bureau S1 neuf direct pro,175 000 TND,"El Mourouj 5, El Mourouj","86
						m²",1 Pièce,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/a/8120212/vente-coquet-appartement-bureau-s1-neuf-direct-pro,N/A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Appartement mourouj 6,270 000 TND,"El Mourouj 6, El Mourouj","170
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8108562/appartement-mourouj-6,N/A,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Appartement à Mégrine Riadh,200 000 TND,"Megrine Riadh, Mégrine","90
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8088874/appartement-%C3%A0-m%C3%A9grine-riadh,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Appartement S3 avec terrasse au Lac 2,1 000 000 TND,"Les Berges Du Lac 2, La Marsa","72
						m²",4 Pièces,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8119920/appartement-s3-avec-terrasse-au-lac-2,N/A,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0
S2 a beb mnara,160 000 TND,"Maakel Ezzaim, Tunis","63
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8119779/s2-a-beb-mnara,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1 en vente,255 000 TND,"Mégrine, Mégrine","65
						m²",N/A,N/A,N/A,https://www.mubawab.tn/fr/a/8119680/s1-en-vente,N/A,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Appartements s3 à vendre à Kerkouane 1éré étage,400 000 TND,"Hammam El Ghezaz, Hammam El Ghezaz","150
						m²",4 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8055926/appartements-s3-%C3%A0-vendre-%C3%A0-kerkouane-1%C3%A9r%C3%A9-%C3%A9tage,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Titre bleu,360 000 TND,"Ain Zaghouan Nord, La Marsa","130
						m²",6 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8118838/titre-bleu,N/A,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Appartement haut standing S3 à vendre,360 000 TND,"Mosque Erraoudha, La Soukra","166
						m²",4 Pièces,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8119369/appartement-haut-standing-s3-%C3%A0-vendre,N/A,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0
Appartement en Vente,183 000 TND,"Rejiche, Rejiche","105
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8083237/appartement-en-vente,N/A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Immeuble 2 etages,1 776 100 TND,"Sidi Amor, Le Kram","400
						m²",10 Pièces,10 Chambres,4 Salles de bains,https://www.mubawab.tn/fr/a/8119223/immeuble-2-etages,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
